seed,leg,method,query_id,rank,r1,rr
41,library,BM25,d4ac4eda3af524a7f9ba69495531afbbbf3af87d2797ca299b811cb8d1b4b597,0,0.0,0.0
41,library,BM25,c75d016a564f7c633b207731e440402739b6d8995611d4c2daa6bed6e0c75f2b,0,0.0,0.0
41,library,BM25,077c02668b0d01f5e815035cda96e2917873c6862d6ad4614a3361eb4cba9d3e,0,0.0,0.0
41,library,BM25,8641379c8a89d1c316454cdd6b5a87195bf88fb61aa64a0b2d79a64d2a26dd50,0,0.0,0.0
41,library,BM25,f7b0443f9f04910382f7d8a2d6dfaf98371763c3a136b1e665e6dc02902a6233,0,0.0,0.0
41,library,BM25,b104fdb9768309453e091eca62f22298c2d8d17ba912d860ea9534fa4e98ec76,0,0.0,0.0
41,library,BM25,d36c4aaf30f57b0966404c49d0f255a48709189fec282f2b8146f0a6ac486e9a,0,0.0,0.0
41,library,BM25,7deae1325c85751ca0d2db631032402b73a9dac68aafc187a7c8c967656c5d60,0,0.0,0.0
41,library,BM25,0e671362af5fc010bf7876ad493c202475b2705aedb22096c388b0d7a4be0e88,0,0.0,0.0
41,library,BM25,876796f7e869779047605c152419d7802f0d3a82a69eb75e74720a7b380526d9,0,0.0,0.0
41,library,BM25,404a969b030e4538f6b226a84ac09b531cfbbabae25974653a17a9d4be6f811d,0,0.0,0.0
41,library,BM25,242caaa16c4fb594e727b9b02bec28d807e4980e02937024b063f5e09ce89613,0,0.0,0.0
41,library,BM25,76e1ac72a853dc1314ec59f681a90defb0b682803d3297f5b4f5f11dd99927e5,0,0.0,0.0
41,library,BM25,227fbe1482d2e5495e142c7cd27e91713e55481059ebc4ec27c76253646b34fa,0,0.0,0.0
41,library,BM25,81aeac1fc07d6e7cf5cb1575924f93ac769975a716be6d4ec74be51fbfded485,0,0.0,0.0
41,library,BM25,248544372ebd7680753cf7d2006d0c0c248f4564567068fba768e93f788ebd53,0,0.0,0.0
41,library,BM25,3134d80c3e2be289aba0dbeb99d7a103dd392b1d83eb42c0d2a4ae69e9a24fdc,0,0.0,0.0
41,library,BM25,b1f466f9f5d0ed1503c3ca65408a61ddc492fd39be3d2b257dfb2ec25185e779,0,0.0,0.0
