ses_raw,u_bound
115.000000,1156.000000
113.750000,1176.000000
113.500000,1196.000000
133.750000,1468.000000
133.500000,1408.000000
112.500000,1156.000000
112.500000,1156.000000
112.500000,1208.000000
112.500000,1156.000000
112.500000,1156.000000
112.250000,1156.000000
112.250000,1156.000000
130.500000,1468.000000
110.250000,1156.000000
130.000000,1468.000000
109.500000,1264.000000
128.750000,1468.000000
106.750000,812.000000
106.250000,1156.000000
105.500000,1156.000000
104.250000,768.000000
102.500000,1184.000000
101.750000,1156.000000
100.250000,1156.000000
99.000000,864.000000
98.500000,1156.000000
96.500000,768.000000
130.250000,1396.000000
139.250000,1428.000000
126.000000,1228.000000
84.500000,768.000000
84.500000,768.000000
78.000000,768.000000
77.500000,768.000000
